Code,Area,Income,Life Satisfaction,Active Enterprises 
E09000001,City of London,56720.94949,,"30,210"
E09000002,Barking and Dagenham,19233.17098,7.52,"7,645"
E09000003,Barnet,27455.07753,7.55,"27,650"
E09000004,Bexley,20767.45752,7.54,"9,975"
E09000005,Brent,23579.54458,7.71,"17,005"
E09000006,Bromley,27168.93583,7.57,"16,785"
E09000007,Camden,44890.47287,7.48,"34,330"
E09000008,Croydon,21766.18376,7.69,"16,855"
E09000009,Ealing,26655.87787,7.53,"20,220"
E09000010,Enfield,21443.6044,7.37,"15,105"
E09000011,Greenwich,21802.75777,7.54,"11,210"
E09000012,Hackney,20176.47554,7.5,"21,660"
E09000013,Hammersmith and Fulham,55549.74888,7.72,"14,625"
E09000014,Haringey,27179.70582,7.35,"13,760"
E09000015,Harrow,23928.71647,7.65,"16,365"
E09000016,Havering,20093.06511,7.68,"11,060"
E09000017,Hillingdon,23437.89076,7.76,"14,745"
E09000018,Hounslow,30230.73769,7.85,"14,930"
E09000019,Islington,29372.34707,7.51,"21,505"
E09000020,Kensington and Chelsea,62600.06506,7.23,"15,000"
E09000021,Kingston upon Thames,26948.29681,7.78,"9,630"
E09000022,Lambeth,24964.17107,7.22,"16,960"
E09000023,Lewisham,22140.96212,7.49,"11,240"
E09000024,Merton,27212.56277,7.84,"12,960"
E09000025,Newham,18535.23465,7.54,"13,685"
E09000026,Redbridge,20933.99883,7.54,"16,025"
E09000027,Richmond upon Thames,33260.41181,7.7,"14,775"
E09000028,Southwark,23282.15495,7.34,"18,930"
E09000029,Sutton,24967.19404,7.88,"9,225"
E09000030,Tower Hamlets,23226.98983,7.82,"20,025"
E09000031,Waltham Forest,21595.64149,7.46,"12,310"
E09000032,Wandsworth,37288.06179,7.65,"19,920"
E09000033,Westminster,50910.42839,7.66,"58,965"
